,Title,Reviews,Ratings,Company Type,Salaries,Total Interviews,Total Jobs,Founded Year,Company Age,Websites
110,Ashok Leyland,4.6k,4.1,Automobile,18.1k,250,1,1948,77,"ashokleyland.comPrimary IndustryAutomobileOther IndustriesFinancial Services|Industrial Machinery|Manufacturing|Analytics & KPOAre you managing Ashok Leyland's employer brand? To edit company information,claim this page for freeReplay videoView in video summaryAshok Leyland, flagship of the Hinduja group, is the 2nd largest manufacturer ofcommercial vehicles in India, and the 5th largest manufacturer of buses globally. The Chennai-based $4.5 billion company has nine manufacturing plants spread across India, UAE, UK and is present across 50 countries. The company has ISO/ TS 16949 Corporate Certification and is also the first truck/bus manufacturer outside Japan to win the Deming Prize for its Pantnagar Plant in 2016 and Hosur Unit II in 2017.Ashok Leyland has a product range of 2.5T GVW (Gross Vehicle Weight) to 55T GTW (Gross Trailer Weight) in trucks, 9 to 80-seater buses, vehicles for defense and special applications, diesel engines for industrial, genset, and marine applications. The company has also launched the first Indian electric bus.Ashok Leyland has a strong legacy of introducing industry-first solutions such as the unique i-EGR technology for BS-IV engines and the revolutionary i-Gen6 technology for BS-VI engines. With a passion for furthering the legacy and creating differentiated solutions, the company indigenously developed India’s first Modular truck platform - AVTR, and is now foraying into the alternative fuel technology product space with Battery electric vehicles, Hydrogen fuel cell electric vehicles, H2ICE vehicles, and LNG vehicles.  Ashok Leyland’s future-ready and industry-first customer-centric offerings are all set to create a paradigm shift in the customer experience. In the Commercial Vehicle Industry, Ashok Leyland has one of the largest and fastest-growing networks with over 53,000+ touchpoints. With technology-enabled customer engagement processes and knowledge of specific applications of the product range, Ashok Leyland sales teams are well-equipped to fulfil customer needs.Since its inception, Ashok Leyland Driver Training Institutes have trained over 24 lakh drivers across India. Ashok Leyland service training institutes provide on-site service training for technicians across the country.Ashok Leyland’s aftermarket products and solutions bring together comprehensive coverage, proactive service, and rapid response in a wide gamut of solutions. These include everything the stakeholders might require, from reliable Annual Maintenance Contracts to user-friendly insurance, intuitive maintenance programs, and the latest technology innovations in telematics. Ashok Leyland offers next-generation innovative digital solutions such as iALERT, LEYKART, and ALCARE to provide a truly seamless digital experience for all its stakeholders.The company is committed to its Environment, Social, and Governance agendas and is driving various initiatives under all these categories. Every company decision is always taken, considering the values of sustainability and a socially responsible approach to fulfilling its mission of inclusive growth. The company practices good corporate governance with transparency, accountability, compliance, and disclosure. The Corporate "
111,ICICI Lombard General Insurance Company,4.7k,3.7,Insurance,18.8k,289,83,2001,24,icicilombard.com
112,BigBasket,4.7k,3.9,Internet,17.6k,369,59,2011,14,bigbasket.com Company contact no.8601231000 E-mailcustomerservice@bigbasket.com 
113,Cyient,4.6k,3.7,IT Services & Consulting,26.4k,299,70,1991,34,cyient.com
114,Bosch Global Software Technologies,4.6k,3.9,IT Services & Consulting,36.5k,348,22,1997,28,bosch-softwaretechnologies.com
115,UST,4.6k,3.8,IT Services & Consulting,36.8k,524,231,1999,26,ust.com
116,Citicorp,4.6k,3.7,Financial Services,44.9k,575,--,1997,28,citigroup.com
117,Hero MotoCorp,4.5k,4.1,Automobile,14.9k,349,--,1984,41,heromotocorp.com
118,Mahindra Finance,4.6k,4.1,NBFC,11.2k,159,47,1991,34,mahindrafinance.com
119,JustDial,4.5k,3.5,Internet,14.7k,335,47,1996,29,justdial.com
120,Eviden,4.4k,3.6,IT Services & Consulting,29.8k,303,51,,,eviden.com
121,Vivo,4.4k,4.1,Consumer Electronics & Appliances,13.3k,200,6,2009,16,vivo.com
122,SMFG India Credit,4.4k,4.0,NBFC,10.6k,168,100,2007,18,"smfgindiacredit.comPrimary IndustryNBFCOther Industries--Are you managing SMFG India Credit's employer brand? To edit company information,claim this page for freeReplay videoView in video summarySMFG India Credit Co. Ltd. (Formerly Fullerton India Credit Co. Ltd.), is registered as an NBFC - Investment and Credit Company (NBFC-ICC) with the Reserve Bank of India, and is a member of SMBC Group. SMFG India Credit started its India operations in 2007 and is today a leading NBFC with a pan-India presence. Working together with over 16,500 employees, we reach our market by connecting with around 3.2 million customers, be it in cities, towns, or villages, right at their doorstep. We penetrate deep inside the market through more than 729 branches, covering 600 towns and approximately 65,000 villages. We operate in niche sectors and provide financial access to the underserved and unserved segments. By doing so, we have introduced people to formal credit. The firm has invested in technology and digital capabilities to enhance customer and stakeholder experience and paved the way for - Pragati Ki Nayi Pehchaan. This echoes our core values and ethos of making things simpler, in our journey to empower people. We remain gender-neutral and do what is right for the community.Managing your company's employer brand?Claim this Company Page for FREEClaim NowSMFG India Credit RatingsView allbased on 4.4k reviewsOverall Rating4.0/5How AmbitionBox ratings work?52.4k4994350421861369Category Ratings4.1Salary3.8Company culture3.8Job security3.8Skill development3.7Work-life balance3.6Promotions3.6Work satisfactionSMFG India Credit is rated 4.0 out of 5 stars on AmbitionBox, based on 4.4k company reviews. This rating reflects a generally positive employee experience, indicating satisfaction with the company’s work culture, benefits, and career growth opportunities. AmbitionBox gathers authentic employee reviews and ratings, making it a trusted platform for job seekers and employees in India.Read moreGender Based Ratings at SMFG India Creditbased on 4.2k reviews3.6Rated by 303 WomenRated 3.7 for Salary and 3.5 for Job security 4.0Rated by 3.9k MenRated 4.1 for Salary and 3.9 for Job security Work Policy at SMFG India Credit based on 731 reviews in last 6 monthsWork from office86%Hybrid9%Permanent work from home5%SMFG India Credit ReviewsView allTop mentions in SMFG India Credit ReviewsSalary (340)Work Culture (318)Senior Management (248)Work Environment (223)Work Life Balance (217)+ 5 moreLikes:NothingDislikes:Worst HR - Bhommika & Chidananda don't even know how to speak wit...Sales Executive in Bangalore / BengaluruSales Support & Operations1.0 • posted on 02 Apr 2025Likes:NothingDislikes:Worst HR - Bhommika & Chidananda don't even know how to speak wit...Salary - Bad+6 moreLikes:Salary on timeDislikes:Superior mis- use power, harsement, work pressure, bad language u...Transaction Officer in RamdurgFinance1.0 • posted on 31 Mar 2025Likes:Salary on timeDislikes:Superior mis- use power, harsement, work pressure, bad language u...Skill development - Bad+5 moreLikes:Dislikes:Sunday working , leave day working, worst relationship to higher...Individual Relationship Officer in NamakkalSales Support & Operations1.0 • posted on 17 Mar 2025Likes:Salary - GoodDislikes:Sunday working , leave day working, worst relationship to higher...Skill development - Poor+5 moreLikes:The company is very good, but the policies are a bit tight.Dislikes:The time to come to office in the morning is right but the time t...SM in KhandwaSales Support & Operations4.0 • posted on 17 Mar 2025Likes:The company is very good, but the policies are a bit tight.Skill development - Good+1 moreDislikes:The time to come to office in the morning is right but the time t...Likes:I had a good teamDislikes:Timing and process is process is purely missing , it needs more a...Sales Manager in RaipurEnterprise & B2B Sales1.0 • posted on 04 Mar 2025Likes:I had a good teamDislikes:Timing and process is process is purely missing , it needs more a...Skill development - Bad+5 moreLikes:Just the infrastructure of the companyDislikes:I don't like the working environment, late night seating for fema...Senior Executive Operations in MumbaiFinance2.0 • posted on 28 Feb 2025Likes:Just the infrastructure of the companySalary - GoodDislikes:I don't like the working environment, late night seating for fema...Skill development - Bad+5 moreLikes:All the respected seniors and staffs were very cooperative and supportive.When i came from from there i felt very s...Dislikes:Individual Relationship Officer in BhubaneswarSales5.0 • posted on 26 Feb 2025Likes:All the respected seniors and staffs were very cooperative and supportive.When i came from from there i felt very s...Salary - Excellent+6 moreLikes:Good gaideance provided by senior for improvement carreers and business.Dislikes:Company should be change physical documents work...now time is di...Senior Manager in New DelhiRetail & B2C Sales4.0 • posted on 21 Feb 2025Likes:Good gaideance provided by senior for improvement carreers and business.Work-life balance - GoodDislikes:Company should be change physical documents work...now time is di...Likes:Job security as of now. Decent bonuses as of now.Dislikes:Top management is horrible. All they care is their own personal g...AVP in MumbaiOther3.0 • posted on 18 Feb 2025Likes:Job security as of now. Decent bonuses as of now.Job security - GoodDislikes:Top management is horrible. All they care is their own personal g...Salary - PoorLikes:Very good environment. Love to work hereDislikes:There is no caos in my life so this is good company i can't think...Software Developer in MumbaiSoftware Development5.0 • posted on 16 Feb 2025Likes:Very good environment. Love to work hereSalary - Excellent+5 moreDislikes:There is no caos in my life so this is good company i can't think...Compare SMFG India Credit with Similar CompaniesSMFG India CreditHDB Financial ServicesChange CompanyMuthoot FincorpChange CompanyShriram FinanceChange CompanyOverall Rating4.0/5based on 4.4k reviews3.9/5based on 21.1k reviews4.5/5based on 7.1k reviews4.0/5based on 7.4k reviewsHighly Rated forSalarySkill developmentJob securitySkill developmentJob securityCompany cultureSkill developmentWork-life balanceJob securityJob securityWork-life balanceSkill developmentCritically Rated forNo critically rated categoryPromotionsNo critically rated categoryNo critically rated category"
123,Home Credit Finance,4.3k,4.1,NBFC,10.4k,116,90,2012,13,homecredit.co.in
124,Manappuram Finance,4.4k,3.9,NBFC,8.3k,157,36,1949,76,manappuram.com
125,BNY,4.3k,3.9,Financial Services,28.8k,354,59,1784,241,bny.com
126,Atos,4.3k,3.8,IT Services & Consulting,32k,384,37,2000,25,atos.net
127,TVS Motor,4.3k,4.0,Automobile,14.9k,327,4,1979,46,tvsmotor.com
128,IQVIA,4.3k,3.9,Clinical Research,28.2k,474,27,1982,43,iqvia.com
129,Swiggy,4.3k,3.8,Internet,21k,444,178,2014,11,swiggy.com
130,SBI Cards & Payment Services,4.2k,3.7,Financial Services,15.2k,241,49,1998,27,sbicard.com
131,Nagarro,4.2k,4.0,IT Services & Consulting,27.9k,770,338,1996,29,nagarro.com
132,OPPO,4.2k,4.0,Consumer Electronics & Appliances,12.3k,218,7,2004,21,oppo.com
133,Persistent Systems,4.1k,3.5,IT Services & Consulting,38.7k,615,209,1990,35,persistent.com Company contact no.2067462084 E-mailinfo@persistent.com 
134,Kalpataru Projects International,4.2k,4.1,Engineering & Construction,12.6k,255,1,1981,44,kalpataruprojects.com
135,Amdocs,4.1k,3.7,Software Product,35.7k,520,46,1982,43,amdocs.com
136,Bosch,4k,4.2,Auto Components,20.1k,336,275,1886,139,bosch.com
137,CBRE,4.1k,4.2,Real Estate,17.3k,281,49,1906,119,cbre.co.in
138,NTT Data,4.1k,3.8,IT Services & Consulting,29k,633,55,1988,37,global.ntt
139,State Bank of India,4k,3.8,Banking,11k,246,--,1806,219,sbi.co.in
140,Hewlett Packard Enterprise,4k,4.2,IT Services & Consulting,27k,235,6,2015,10,hpe.com
141,Mahindra Logistics,4k,3.9,Logistics,13.4k,204,11,2000,25,mahindralogistics.com
142,JBM Group,4k,4.0,Auto Components,13.8k,286,27,1983,42,jbmgroup.com
143,SBI Life Insurance Company,4k,3.8,Insurance,11k,241,5,2001,24,sbilife.co.in
144,Schneider Electric,4k,4.1,Industrial Automation,21.9k,376,432,1999,26,schneiderelectric.com
145,Dell,4k,3.9,Consumer Electronics & Appliances,27.7k,393,49,1984,41,dell.com
146,PolicyBazaar,4.1k,3.6,Internet,15.2k,416,154,2008,17,policybazaar.com 
147,Ecom Express,3.9k,3.8,Logistics,9.5k,211,30,2012,13,ecomexpress.in
148,Nagarjuna Construction Company,3.9k,4.1,Engineering & Construction,10.8k,327,24,1998,27,ncclimited.com
149,Piramal Capital Housing Finance,3.9k,4.2,NBFC,9k,189,1,2020,5,piramalfinance.com
150,KEC International,3.8k,4.0,Engineering & Construction,12k,320,3,1945,80,kecrpg.com
151,Aditya Birla Fashion and Retail,3.8k,4.1,Fashion & Textile,12.4k,213,13,1988,37,abfrl.com
152,Hyundai Motor India Limited,3.7k,4.3,Automobile,12.9k,268,7,1967,58,hyundai.com
153,Varun Beverages,3.7k,4.0,Beverage,10.9k,246,64,1991,34,varunbeverages.com
154,CARS24 ,3.7k,3.5,Internet,14.2k,341,119,2015,10,"cars24.comPrimary IndustryInternetOther IndustriesIndustrial Machinery|Manufacturing|Urban TransportReplay videoView in video summaryCARS24 is transforming the way India buys and sells cars.We, at CARS24, strive to revolutionize the pre-owned cars'? market by providing disruptive solutions and services for a happy, hassle-free and simple car selling experience. Using advanced Machine Learning and Artificial Intelligence based auctions, we enable our channel partners across the country to participate in auctions for each car, ensuring the best deals for our customers.We love cars and the joy, excitement and memories it brings along with it. So, when you drive to a CARS24, you get to keep the beautiful memories of your car and leave the worries of selling to us.At CARS24, we don’t buy used cars. We buy Your Cars.Mission: CARS24's mission is to revolutionize the way used cars are transacted in India. We endeavour to offer an efficient, reliable and hassle-free transacting experience for used cars.CARS24  RatingsView allbased on 3.7k reviewsOverall Rating3.5/5How AmbitionBox ratings work?51.6k4598350322901723Category Ratings3.6Salary3.5Skill development3.3Company culture3.3Work-life balance3.3Work satisfaction3.1Promotions3.0Job securityCARS24  is rated 3.5 out of 5 stars on AmbitionBox, based on 3.7k company reviews.This rating reflects an average employee experience, indicating moderate satisfaction with the company’s work culture, benefits, and career growth opportunities. AmbitionBox gathers authentic employee reviews and ratings, making it a trusted platform for job seekers and employees in India.Read moreGender Based Ratings at CARS24 based on 3.5k reviews3.4Rated by 440 WomenRated 3.4 for Salary and 3.4 for Skill development 3.5Rated by 3k MenRated 3.6 for Salary and 3.5 for Skill development Work Policy at CARS24  based on 509 reviews in last 6 monthsWork from office74%Hybrid21%Permanent work from home5%CARS24  ReviewsView allTop mentions in CARS24  ReviewsSenior Management (452)Job Security (430)Salary (427)Work Culture (333)Work Environment (283)+ 5 moreLikes:Working as a Retail Associate at Cars24 is great experience. the job involves handling customer queries, assisting...Dislikes:Targets, sometimes long working hours.Retail Associate in KozhikodeInvestment Banking, Private Equity & VC5.0 • posted on 18 Apr 2025Likes:Working as a Retail Associate at Cars24 is great experience. the job involves handling customer queries, assisting...Salary - Excellent+6 moreDislikes:Targets, sometimes long working hours.Likes:There is a lot of scope for learning new tech here. Full ownership of projects of projects is given, and the team i...Dislikes:Sometimes, last-minute feature requests come in, but it's part of...Full Stack Developer in Gurgaon / GurugramSoftware Development5.0 • posted on 18 Apr 2025Likes:There is a lot of scope for learning new tech here. Full ownership of projects of projects is given, and the team i...Salary - Excellent+6 moreDislikes:Sometimes, last-minute feature requests come in, but it's part of...Likes:ML team gets to work on real-world problems, and there is a strong focus on innovation. The leadersgip is very supp...Dislikes:Experimentation can take time due to data dependencies, but it's...Machine Learning Engineer in Gurgaon / GurugramData Science & Machine Learning5.0 • posted on 18 Apr 2025Likes:ML team gets to work on real-world problems, and there is a strong focus on innovation. The leadersgip is very supp...Salary - Excellent+6 moreDislikes:Experimentation can take time due to data dependencies, but it's...Likes:Timely salaryDislikes:Misleading acts. .u asked to work on gazzeted holidays n other  h...Inspection Engineer in Gurgaon / GurugrameCommerce Operations1.0 • posted on 17 Apr 2025Likes:Timely salaryDislikes:Misleading acts. .u asked to work on gazzeted holidays n other  h...Salary - Bad+6 moreLikes:Great place to work with cutting-edge cloud and automation technologies. Infrastructure is well-managed, and there...Dislikes:Sometimes, we have to work late during deployements, but it's not...Devops Engineer in Gurgaon / GurugramDevOps5.0 • posted on 15 Apr 2025Likes:Great place to work with cutting-edge cloud and automation technologies. Infrastructure is well-managed, and there...Salary - Excellent+6 moreDislikes:Sometimes, we have to work late during deployements, but it's not...Likes:The data infrastructure here is top-notch, and we get exposure to real-world big data challenges. The company suppo...Dislikes:Somrtimes , there's a lot of data cleaning work, but that's expec...Data Engineer in Gurgaon / GurugramSoftware Development5.0 • posted on 14 Apr 2025Likes:The data infrastructure here is top-notch, and we get exposure to real-world big data challenges. The company suppo...Salary - Excellent+6 moreDislikes:Somrtimes , there's a lot of data cleaning work, but that's expec...Likes:Tech stack is modern, and there is always something new to learn. The team is collaborative, and even juniors are e...Dislikes:Sometimes, last-minute changes come, but that's part of developme...Front end Developer in Gurgaon / GurugramCustomer Success5.0 • posted on 14 Apr 2025Likes:Tech stack is modern, and there is always something new to learn. The team is collaborative, and even juniors are e...Salary - Excellent+6 moreDislikes:Sometimes, last-minute changes come, but that's part of developme...Likes:CAES24 provides a great platform to work on scalable systems. The backend team is very strong, and there's a lot of...Dislikes:Deadlines can sometimes be strict, but it's manageable with prope...Backend Developer in Gurgaon / GurugramLife Insurance5.0 • posted on 14 Apr 2025Likes:CAES24 provides a great platform to work on scalable systems. The backend team is very strong, and there's a lot of...Salary - Excellent+6 moreDislikes:Deadlines can sometimes be strict, but it's manageable with prope...Likes:The working hours are quite flexible here, and the tech stack is impressive. Peers and seniors are always ready to...Dislikes:Nothing much to complain about, everything is smooth.Software Engineer in Gurgaon / GurugramSoftware Development5.0 • posted on 14 Apr 2025Likes:The working hours are quite flexible here, and the tech stack is impressive. Peers and seniors are always ready to...Salary - Excellent+6 moreDislikes:Nothing much to complain about, everything is smooth.Likes:CARS24 is a company that values its employees. The managers always push you to do better, and hard work gets reward...Dislikes:The job can sometimes be fast-paced, but that's what keeps it exc...Sales Consultant in NoidaMarketing5.0 • posted on 13 Apr 2025Likes:CARS24 is a company that values its employees. The managers always push you to do better, and hard work gets reward...Salary - Excellent+6 moreDislikes:The job can sometimes be fast-paced, but that's what keeps it exc...Compare CARS24  with Similar CompaniesCARS24 SwiggyChange CompanyUdaanChange CompanyIndiamart IntermeshChange CompanyOverall Rating3.5/5based on 3.7k reviews3.8/5based on 4.3k reviews3.9/5based on 5.1k reviews3.6/5based on 5k reviewsHighly Rated forNo highly rated categoryNo highly rated categorySalarySkill developmentWork-life balanceNo highly rated categoryCritically Rated forJob securityPromotionsWork-life balanceJob securityPromotionsJob securityPromotionsWork satisfaction"
155,Randstad,3.7k,3.8,Recruitment,15.3k,272,85,1992,33,randstad.in
156,Oyo Rooms,3.6k,3.3,Hospitality,20k,221,63,2012,13,oyorooms.com
157,EY Global Delivery Services ( EY GDS),3.6k,3.6,Accounting & Auditing,34.3k,771,9,2002,23,ey.com
158,Bajaj Auto,3.6k,3.9,Automobile,13.6k,277,100,1945,80,bajajauto.com
159,Deutsche Bank,3.6k,3.9,Banking,31.9k,372,913,1870,155,db.com
160,L&T Finance,3.6k,3.9,NBFC,11k,160,7,1994,31,ltfinance.com
161,Reliance Communications,3.5k,4.0,Telecom,10.7k,92,--,2002,23,rcom.co.in
162,Intas Pharmaceuticals,3.6k,4.1,Pharma,16.2k,219,36,1977,48,intaspharma.com
163,ITC Infotech ,3.6k,3.6,IT Services & Consulting,28.3k,351,89,2000,25,itcinfotech.com
164,Team Lease,3.5k,3.9,Recruitment,15.3k,213,--,2016,9,teamleasegroup.com
165,R1 RCM,3.5k,3.9,BPO,18.9k,289,198,2007,18,r1rcm.com
166,Tata Communications,3.5k,4.0,Telecom,23.1k,259,19,1986,39,tatacommunications.com
167,Havells,3.5k,4.0,Electrical Equipment,12.9k,216,23,1983,42,havells.com
168,Access Healthcare,3.5k,3.9,Analytics & KPO,21.6k,215,172,2011,14,"accesshealthcare.comPrimary IndustryAnalytics & KPOOther IndustriesInternetReplay videoView in video summarySince 2011, Access Healthcare has been a trusted partner to healthcare institutions by providing Revenue Cycle solutions to enhance clinical outcomes, improve financial performance and optimize operations. We apply our revenue cycle expertise, technology solutions, automation platform, analytics, and best practices to deliver market-leading results. In short, we manage the business of healthcare for our clients. With a rich legacy spanning decades, Access Healthcare has grown and adapted to the ever-changing landscape of the healthcare industry. Our journey showcases strategic acquisitions, mergers, and a strong focus on advanced technologies, allowing us to deliver exceptional services that optimize revenue cycle and drive positive change in healthcare organizations.Today, we stand at the forefront of the industry, continuously pushing boundaries and shaping the future of healthcare services.Mission: Be the most respected healthcare business process and  IT services team in the world.Vision: Grow professionally and personally inside our rewarding culture.Access Healthcare RatingsView allbased on 3.5k reviewsOverall Rating3.9/5How AmbitionBox ratings work?51.6k4953342221481378Category Ratings3.9Job security3.8Company culture3.7Salary3.7Work-life balance3.6Skill development3.6Work satisfaction3.3PromotionsAccess Healthcare is rated 3.9 out of 5 stars on AmbitionBox, based on 3.5k company reviews.This rating reflects an average employee experience, indicating moderate satisfaction with the company’s work culture, benefits, and career growth opportunities. AmbitionBox gathers authentic employee reviews and ratings, making it a trusted platform for job seekers and employees in India.Read moreGender Based Ratings at Access Healthcarebased on 3.3k reviews4.1Rated by 1.3k WomenRated 4.1 for Job security and 4.0 for Company culture 3.8Rated by 2.1k MenRated 3.8 for Job security and 3.7 for Company culture Work Policy at Access Healthcare based on 610 reviews in last 6 monthsWork from office56%Hybrid31%Permanent work from home13%Access Healthcare ReviewsView allTop mentions in Access Healthcare ReviewsSalary (382)Work Environment (343)Senior Management (298)Job Security (219)Work Culture (185)+ 5 moreLikes:There's nothing to like there. I prefer to give 0 rating. Take time and read the dislikes.Dislikes:They don't consider employee's health or concern. They ask for co...Senior Client Partner in CoimbatoreHealth Informatics1.0 • posted on 28 Mar 2025Likes:There's nothing to like there. I prefer to give 0 rating. Take time and read the dislikes.Dislikes:They don't consider employee's health or concern. They ask for co...Salary - Bad+6 moreLikes:Working atmosphere is very good no work pressure, if we finish our work then there will not be any pressure or noth...Dislikes:NothingQuality Assurance Analyst in ChennaiQuality Assurance and Testing5.0 • posted on 14 Mar 2025Likes:Working atmosphere is very good no work pressure, if we finish our work then there will not be any pressure or noth...Salary - Excellent+6 moreDislikes:NothingLikes:Salary is the only reason I am here.Dislikes:Their leave policy, no matter what they will allow three leaves o...Client Specialist in MumbaiHealthcare & Life Sciences - Other2.0 • posted on 14 Mar 2025Likes:Salary is the only reason I am here.Salary - ExcellentDislikes:Their leave policy, no matter what they will allow three leaves o...Skill development - Bad+5 moreLikes:Their culture is good like they take immediate actionsDislikes:Your job is uncertain there, they can terminate you once they ter...Senior AR Caller in CoimbatoreOperations1.0 • posted on 13 Mar 2025Likes:Their culture is good like they take immediate actionsDislikes:Your job is uncertain there, they can terminate you once they ter...Salary - Bad+5 moreLikes:NoDislikes:MD mr probir dutta not a good person,,he not a prodide salary tim...Medical Representative in KolkataHealth Informatics1.0 • posted on 03 Mar 2025Likes:NoDislikes:MD mr probir dutta not a good person,,he not a prodide salary tim...Salary - Bad+6 moreLikes:good number hike will be receiveDislikes:Office work is only life in the employees and one more Over time...Senior Client Partner in SirkazhiCustomer Success, Service & Operations - Other1.0 • posted on 28 Feb 2025Likes:good number hike will be receiveDislikes:Office work is only life in the employees and one more Over time...Salary - Poor+6 moreLikes:That company is very suitable in my routine life my process is very easy and every day and every month I'm reached...Dislikes:I'm permenent nyt shift end off the work cab dropping points very...Processing Executive in CoimbatoreNon Voice5.0 • posted on 25 Feb 2025Likes:That company is very suitable in my routine life my process is very easy and every day and every month I'm reached...Salary - Excellent+6 moreDislikes:I'm permenent nyt shift end off the work cab dropping points very...Likes:Good place for freshers and women's.. Appraisal percentage really great when compared to other companies.Dislikes:You always want to prove yourself with top management so that eve...Senior Financial Analyst in ChennaiFinance and Accounting 3.0 • posted on 07 Feb 2025Likes:Good place for freshers and women's.. Appraisal percentage really great when compared to other companies.Dislikes:You always want to prove yourself with top management so that eve...Likes:Dislikes:There is no work life balance, has poor management and hr team, n...Client Partner in ChennaiOther Hospital Staff2.0 • posted on 04 Feb 2025Dislikes:There is no work life balance, has poor management and hr team, n...Skill development - Bad+5 moreLikes:Nothing is to say about like very think is dislike onlyDislikes:No Job Security....If you ask them any questions or this is not f...Senior Client Partner in ChennaiNon Voice1.0 • posted on 30 Jan 2025Likes:Nothing is to say about like very think is dislike onlyDislikes:No Job Security....If you ask them any questions or this is not f...Salary - Poor+6 moreCompare Access Healthcare with Similar CompaniesAccess HealthcareEXL ServiceChange CompanyAGS HealthChange CompanyS&P GlobalChange CompanyOverall Rating3.9/5based on 3.5k reviews3.7/5based on 7.4k reviews4.0/5based on 2.3k reviews4.1/5based on 2.6k reviewsHighly Rated forJob securityCompany cultureJob securityJob securityCompany cultureSkill developmentWork-life balanceCompany cultureSalaryCritically Rated forPromotionsPromotionsSalaryNo critically rated categoryPromotions"
169,Royal Enfield,3.5k,4.2,Automobile,13.8k,162,1,1901,124,royalenfield.com
170,John Deere,3.4k,4.1,Industrial Machinery,14.8k,238,21,2001,24,johndeere.com
171,Hetero,3.5k,3.8,Pharma,14.5k,235,46,1993,32,hetero.com 
172,LG Electronics,3.4k,4.0,Consumer Electronics & Appliances,10.5k,207,1,1958,67,lg.com
173,Thermax Limited,3.4k,4.1,Industrial Machinery,12.2k,261,36,1966,59,thermaxglobal.com
174,Macleods Pharmaceuticals,3.4k,3.6,,14.9k,210,12,1986,39,macleodspharma.com
175,Aakash Educational Services,3.4k,3.4,Education & Training,12.4k,317,86,1988,37,aakash.ac.in
176,HDFC Ergo General Insurance,3.3k,3.9,Insurance,11.6k,155,--,2002,23,hdfcergo.com
177,Tata AIA Life Insurance,3.3k,4.0,Insurance,12.8k,182,141,2001,24,tataaia.com
178,Utkarsh Small Finance Bank,3.3k,3.8,Banking,10k,229,22,2009,16,utkarsh.bank
179,Publicis Sapient,3.3k,3.5,IT Services & Consulting,27.4k,627,192,1990,35,careers.publicissapient.com Career pagehttps://careers.publicissapient.com/ 
